ID,codigo,nombre,nivel,modalidad,sede,jornada,duracion,valor,periodo,fechaInicio,cupos,metaMatriculas,estado,descripcion,externalID
programa-001,EDU-PROG-001,Ingeniería de Sistemas · Cohorte 1,Tecnólogo,Virtual,Medellín,Nocturna,5 semestres,3260000,2026-2,2026-09-15,39,28,Activo,Programa académico sintético.,LMS-PROG-001
programa-002,EDU-PROG-002,Mercadeo · Cohorte 1,Pregrado,Híbrida,Cali,Fines de semana,6 semestres,3720000,2026-2,2026-09-16,43,31,Activo,Programa académico sintético.,LMS-PROG-002
programa-003,EDU-PROG-003,Diseño · Cohorte 1,Especialización,Presencial,Barranquilla,Flexible,7 semestres,4180000,2026-2,2026-09-17,47,34,Activo,Programa académico sintético.,LMS-PROG-003
programa-004,EDU-PROG-004,Contaduría · Cohorte 1,Maestría,Virtual,Cartagena,Diurna,8 semestres,4640000,2026-2,2026-09-18,51,37,Activo,Programa académico sintético.,LMS-PROG-004
programa-005,EDU-PROG-005,Administración · Cohorte 1,Educación continua,Híbrida,Bucaramanga,Nocturna,9 semestres,5100000,2026-2,2026-09-19,55,40,Activo,Programa académico sintético.,LMS-PROG-005
programa-006,EDU-PROG-006,Ingeniería de Sistemas · Cohorte 2,Técnico,Presencial,Pereira,Fines de semana,10 semestres,5560000,2026-2,2026-09-20,59,43,Activo,Programa académico sintético.,LMS-PROG-006
programa-007,EDU-PROG-007,Mercadeo · Cohorte 2,Tecnólogo,Virtual,Manizales,Flexible,4 semestres,6020000,2026-2,2026-09-21,63,46,Activo,Programa académico sintético.,LMS-PROG-007
programa-008,EDU-PROG-008,Diseño · Cohorte 2,Pregrado,Híbrida,Ibagué,Diurna,5 semestres,6480000,2026-2,2026-09-22,67,49,Activo,Programa académico sintético.,LMS-PROG-008
programa-009,EDU-PROG-009,Contaduría · Cohorte 2,Especialización,Presencial,Villavicencio,Nocturna,6 semestres,6940000,2026-2,2026-09-23,71,52,Activo,Programa académico sintético.,LMS-PROG-009
programa-010,EDU-PROG-010,Administración · Cohorte 2,Maestría,Virtual,Bogotá,Fines de semana,7 semestres,7400000,2026-2,2026-09-24,75,55,Activo,Programa académico sintético.,LMS-PROG-010
programa-011,EDU-PROG-011,Ingeniería de Sistemas · Cohorte 3,Educación continua,Híbrida,Medellín,Flexible,8 semestres,7860000,2026-2,2026-09-25,79,58,Activo,Programa académico sintético.,LMS-PROG-011
programa-012,EDU-PROG-012,Mercadeo · Cohorte 3,Técnico,Presencial,Cali,Diurna,9 semestres,8320000,2026-2,2026-09-26,83,61,Activo,Programa académico sintético.,LMS-PROG-012
programa-013,EDU-PROG-013,Diseño · Cohorte 3,Tecnólogo,Virtual,Barranquilla,Nocturna,10 semestres,8780000,2026-2,2026-09-27,87,64,Activo,Programa académico sintético.,LMS-PROG-013
programa-014,EDU-PROG-014,Contaduría · Cohorte 3,Pregrado,Híbrida,Cartagena,Fines de semana,4 semestres,9240000,2026-2,2026-09-28,91,67,Activo,Programa académico sintético.,LMS-PROG-014
programa-015,EDU-PROG-015,Administración · Cohorte 3,Especialización,Presencial,Bucaramanga,Flexible,5 semestres,9700000,2026-2,2026-09-29,95,70,Activo,Programa académico sintético.,LMS-PROG-015
programa-016,EDU-PROG-016,Ingeniería de Sistemas · Cohorte 4,Maestría,Virtual,Pereira,Diurna,6 semestres,10160000,2026-2,2026-09-30,99,73,Activo,Programa académico sintético.,LMS-PROG-016
programa-017,EDU-PROG-017,Mercadeo · Cohorte 4,Educación continua,Híbrida,Manizales,Nocturna,7 semestres,10620000,2026-2,2026-10-01,103,76,Activo,Programa académico sintético.,LMS-PROG-017
