ID,asunto,prospecto,vehiculo,oportunidad,asesor,tipo,estado,fecha,resultado,proximaAccion,observaciones
actividad-auto-001,Seguimiento automotriz #1,auto-prospecto-001,vehiculo-001,auto-oportunidad-001,asesor-demo,WhatsApp,Completada,2026-07-30T12:00:00Z,Solicita financiación,2026-08-02T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-002,Seguimiento automotriz #2,auto-prospecto-002,vehiculo-002,auto-oportunidad-002,asesora-demo,Correo,Completada,2026-07-29T12:00:00Z,Pendiente respuesta,2026-08-03T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-003,Seguimiento automotriz #3,auto-prospecto-003,vehiculo-003,auto-oportunidad-003,asesor-demo,Reunión,Cancelada,2026-07-28T12:00:00Z,Nueva referencia sugerida,2026-08-04T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-004,Seguimiento automotriz #4,auto-prospecto-004,vehiculo-004,auto-oportunidad-004,asesora-demo,Seguimiento,Pendiente,2026-07-27T12:00:00Z,Interés confirmado,2026-08-05T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-005,Seguimiento automotriz #5,auto-prospecto-005,vehiculo-005,auto-oportunidad-005,asesor-demo,Llamada,Completada,2026-07-26T12:00:00Z,Solicita financiación,2026-08-06T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-006,Seguimiento automotriz #6,auto-prospecto-006,vehiculo-006,auto-oportunidad-006,asesora-demo,WhatsApp,Completada,2026-07-25T12:00:00Z,Pendiente respuesta,2026-08-07T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-007,Seguimiento automotriz #7,auto-prospecto-007,vehiculo-007,auto-oportunidad-007,asesor-demo,Correo,Cancelada,2026-07-24T12:00:00Z,Nueva referencia sugerida,2026-08-08T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-008,Seguimiento automotriz #8,auto-prospecto-008,vehiculo-008,auto-oportunidad-008,asesora-demo,Reunión,Pendiente,2026-07-23T12:00:00Z,Interés confirmado,2026-08-09T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-009,Seguimiento automotriz #9,auto-prospecto-009,vehiculo-009,auto-oportunidad-009,asesor-demo,Seguimiento,Completada,2026-07-22T12:00:00Z,Solicita financiación,2026-08-10T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
actividad-auto-010,Seguimiento automotriz #10,auto-prospecto-010,vehiculo-010,auto-oportunidad-010,asesora-demo,Llamada,Completada,2026-07-21T12:00:00Z,Pendiente respuesta,2026-08-11T12:00:00Z,"Actividad relacionada con prospecto, vehículo y oportunidad."
