ID,codigo,cliente,vehiculo,coordinador,tecnico,inicio,fin,kilometrajeIngreso,tipoServicio,estado,solicitud,diagnostico,valorEstimado,valorFinal,proximoMantenimiento,observaciones,externalID,inicioReal,finReal,fechaEntrega
orden-taller-001,OT-DEMO-001,auto-prospecto-002,vehiculo-002,supervisora-demo,tecnica-demo,2026-07-18T20:00:00Z,2026-07-18T22:00:00Z,5740,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,395000,377000,2026-10-30,Orden de taller sintética.,DMS-OT-001,,,
orden-taller-002,OT-DEMO-002,auto-prospecto-003,vehiculo-003,supervisora-demo,tecnica-demo,2026-07-19T21:00:00Z,2026-07-19T23:00:00Z,6480,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,440000,424000,2026-10-31,Orden de taller sintética.,DMS-OT-002,2026-07-19T21:08:00Z,,
orden-taller-003,OT-DEMO-003,auto-prospecto-004,vehiculo-004,supervisora-demo,tecnica-demo,2026-07-20T22:00:00Z,2026-07-21T00:00:00Z,7220,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,485000,471000,2026-11-01,Orden de taller sintética.,DMS-OT-003,2026-07-20T22:08:00Z,2026-07-21T00:35:00Z,2026-07-21T02:00:00Z
orden-taller-004,OT-DEMO-004,auto-prospecto-005,vehiculo-005,supervisora-demo,tecnica-demo,2026-07-21T23:00:00Z,2026-07-22T01:00:00Z,7960,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,530000,518000,2026-11-02,Orden de taller sintética.,DMS-OT-004,,,
orden-taller-005,OT-DEMO-005,auto-prospecto-006,vehiculo-006,supervisora-demo,tecnica-demo,2026-07-23T00:00:00Z,2026-07-23T02:00:00Z,8700,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,575000,565000,2026-11-03,Orden de taller sintética.,DMS-OT-005,,,
orden-taller-006,OT-DEMO-006,auto-prospecto-007,vehiculo-007,supervisora-demo,tecnica-demo,2026-07-24T01:00:00Z,2026-07-24T03:00:00Z,9440,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,620000,612000,2026-11-04,Orden de taller sintética.,DMS-OT-006,2026-07-24T01:08:00Z,,
orden-taller-007,OT-DEMO-007,auto-prospecto-008,vehiculo-008,supervisora-demo,tecnica-demo,2026-07-25T02:00:00Z,2026-07-25T04:00:00Z,10180,Garantía,Cancelada,Revisión general del vehículo.,Diagnóstico sintético documentado.,665000,659000,2026-11-05,Orden de taller sintética.,DMS-OT-007,2026-07-25T02:08:00Z,2026-07-25T04:35:00Z,2026-07-25T06:00:00Z
orden-taller-008,OT-DEMO-008,auto-prospecto-009,vehiculo-009,supervisora-demo,tecnica-demo,2026-07-26T03:00:00Z,2026-07-26T05:00:00Z,10920,Mantenimiento preventivo,Programada,Revisión general del vehículo.,Diagnóstico sintético documentado.,710000,706000,2026-11-06,Orden de taller sintética.,DMS-OT-008,,,
orden-taller-009,OT-DEMO-009,auto-prospecto-010,vehiculo-010,supervisora-demo,tecnica-demo,2026-07-26T19:00:00Z,2026-07-26T21:00:00Z,11660,Inspección,En ejecución,Revisión general del vehículo.,Diagnóstico sintético documentado.,755000,753000,2026-11-07,Orden de taller sintética.,DMS-OT-009,,,
orden-taller-010,OT-DEMO-010,auto-prospecto-011,vehiculo-011,supervisora-demo,tecnica-demo,2026-07-27T20:00:00Z,2026-07-27T22:00:00Z,12400,Reparación,Completada,Revisión general del vehículo.,Diagnóstico sintético documentado.,800000,800000,2026-11-08,Orden de taller sintética.,DMS-OT-010,2026-07-27T20:08:00Z,,
