ID,codigo,cliente,tipoEquipo,marca,modelo,serial,fechaInstalacion,garantiaHasta,criticidad,estado,proximoMantenimiento,ultimaIntervencion,ubicacion,ubicacionMapa,observaciones,externalID
activo-001,ACT-DEMO-001,cliente-servicio-001,Caldera,LG,Modelo-01,SN-DEMO-000001,2026-03-30,2026-10-30,Media,Requiere mantenimiento,2026-08-01,2026-06-30,Medellín,"{""coordinates"":[6.2118,-75.5709]}",Activo sintético.,IOT-ACT-001
activo-002,ACT-DEMO-002,cliente-servicio-002,Panel solar,Bosch,Modelo-02,SN-DEMO-000002,2026-03-27,2026-10-31,Alta,Fuera de servicio,2026-08-02,2026-06-29,Cali,"{""coordinates"":[3.3757,-76.5371]}",Activo sintético.,IOT-ACT-002
activo-003,ACT-DEMO-003,cliente-servicio-003,Equipo industrial,Siemens,Modelo-03,SN-DEMO-000003,2026-03-24,2026-11-01,Crítica,Operativo,2026-08-03,2026-06-28,Barranquilla,"{""coordinates"":[11.0192,-74.8301]}",Activo sintético.,IOT-ACT-003
activo-004,ACT-DEMO-004,cliente-servicio-004,Aire acondicionado,Samsung,Modelo-04,SN-DEMO-000004,2026-03-21,2026-11-02,Baja,Requiere mantenimiento,2026-08-04,2026-06-27,Cartagena,"{""coordinates"":[10.4216,-75.5515]}",Activo sintético.,IOT-ACT-004
activo-005,ACT-DEMO-005,cliente-servicio-005,Caldera,LG,Modelo-05,SN-DEMO-000005,2026-03-18,2026-11-03,Media,Fuera de servicio,2026-08-05,2026-06-26,Bucaramanga,"{""coordinates"":[7.1404,-73.125]}",Activo sintético.,IOT-ACT-005
activo-006,ACT-DEMO-006,cliente-servicio-006,Panel solar,Bosch,Modelo-06,SN-DEMO-000006,2026-03-15,2026-11-04,Alta,Operativo,2026-08-06,2026-06-25,Pereira,"{""coordinates"":[4.806,-75.681]}",Activo sintético.,IOT-ACT-006
activo-007,ACT-DEMO-007,cliente-servicio-007,Equipo industrial,Siemens,Modelo-07,SN-DEMO-000007,2026-03-12,2026-11-05,Crítica,Requiere mantenimiento,2026-08-07,2026-06-24,Manizales,"{""coordinates"":[5.059,-75.492]}",Activo sintético.,IOT-ACT-007
activo-008,ACT-DEMO-008,cliente-servicio-008,Aire acondicionado,Samsung,Modelo-08,SN-DEMO-000008,2026-03-09,2026-11-06,Baja,Fuera de servicio,2026-08-08,2026-06-23,Ibagué,"{""coordinates"":[4.4449,-75.2382]}",Activo sintético.,IOT-ACT-008
activo-009,ACT-DEMO-009,cliente-servicio-009,Caldera,LG,Modelo-09,SN-DEMO-000009,2026-03-06,2026-11-07,Media,Operativo,2026-08-09,2026-06-22,Villavicencio,"{""coordinates"":[4.151,-73.6356]}",Activo sintético.,IOT-ACT-009
activo-010,ACT-DEMO-010,cliente-servicio-010,Panel solar,Bosch,Modelo-10,SN-DEMO-000010,2026-03-03,2026-11-08,Alta,Requiere mantenimiento,2026-08-10,2026-06-21,Bogotá,"{""coordinates"":[4.6606,-74.0757]}",Activo sintético.,IOT-ACT-010
activo-011,ACT-DEMO-011,cliente-servicio-011,Equipo industrial,Siemens,Modelo-11,SN-DEMO-000011,2026-02-28,2026-11-09,Crítica,Fuera de servicio,2026-08-11,2026-06-20,Medellín,"{""coordinates"":[6.2238,-75.5829]}",Activo sintético.,IOT-ACT-011
activo-012,ACT-DEMO-012,cliente-servicio-012,Aire acondicionado,Samsung,Modelo-12,SN-DEMO-000012,2026-02-25,2026-11-10,Baja,Operativo,2026-08-12,2026-06-19,Cali,"{""coordinates"":[3.3697,-76.5311]}",Activo sintético.,IOT-ACT-012
activo-013,ACT-DEMO-013,cliente-servicio-013,Caldera,LG,Modelo-13,SN-DEMO-000013,2026-02-22,2026-11-11,Media,Requiere mantenimiento,2026-08-13,2026-06-18,Barranquilla,"{""coordinates"":[11.0132,-74.8241]}",Activo sintético.,IOT-ACT-013
activo-014,ACT-DEMO-014,cliente-servicio-014,Panel solar,Bosch,Modelo-14,SN-DEMO-000014,2026-02-19,2026-11-12,Alta,Fuera de servicio,2026-08-14,2026-06-17,Cartagena,"{""coordinates"":[10.4156,-75.5455]}",Activo sintético.,IOT-ACT-014
activo-015,ACT-DEMO-015,cliente-servicio-015,Equipo industrial,Siemens,Modelo-00,SN-DEMO-000015,2026-02-16,2026-11-13,Crítica,Operativo,2026-08-15,2026-06-16,Bucaramanga,"{""coordinates"":[7.1344,-73.119]}",Activo sintético.,IOT-ACT-015
activo-016,ACT-DEMO-016,cliente-servicio-016,Aire acondicionado,Samsung,Modelo-01,SN-DEMO-000016,2026-02-13,2026-11-14,Baja,Requiere mantenimiento,2026-08-16,2026-06-15,Pereira,"{""coordinates"":[4.818,-75.693]}",Activo sintético.,IOT-ACT-016
activo-017,ACT-DEMO-017,cliente-servicio-017,Caldera,LG,Modelo-02,SN-DEMO-000017,2026-02-10,2026-11-15,Media,Fuera de servicio,2026-08-17,2026-06-14,Manizales,"{""coordinates"":[5.071,-75.504]}",Activo sintético.,IOT-ACT-017
activo-018,ACT-DEMO-018,cliente-servicio-018,Panel solar,Bosch,Modelo-03,SN-DEMO-000018,2026-02-07,2026-11-16,Alta,Operativo,2026-08-18,2026-06-13,Ibagué,"{""coordinates"":[4.4389,-75.2322]}",Activo sintético.,IOT-ACT-018
activo-019,ACT-DEMO-019,cliente-servicio-019,Equipo industrial,Siemens,Modelo-04,SN-DEMO-000019,2026-02-04,2026-11-17,Crítica,Requiere mantenimiento,2026-08-19,2026-06-12,Villavicencio,"{""coordinates"":[4.145,-73.6296]}",Activo sintético.,IOT-ACT-019
activo-020,ACT-DEMO-020,cliente-servicio-020,Aire acondicionado,Samsung,Modelo-05,SN-DEMO-000020,2026-02-01,2026-11-18,Baja,Fuera de servicio,2026-08-20,2026-06-11,Bogotá,"{""coordinates"":[4.6546,-74.0697]}",Activo sintético.,IOT-ACT-020
activo-021,ACT-DEMO-021,cliente-servicio-021,Caldera,LG,Modelo-06,SN-DEMO-000021,2026-01-29,2026-11-19,Media,Operativo,2026-08-21,2026-06-10,Medellín,"{""coordinates"":[6.2178,-75.5769]}",Activo sintético.,IOT-ACT-021
activo-022,ACT-DEMO-022,cliente-servicio-022,Panel solar,Bosch,Modelo-07,SN-DEMO-000022,2026-01-26,2026-11-20,Alta,Requiere mantenimiento,2026-08-22,2026-06-09,Cali,"{""coordinates"":[3.3817,-76.5431]}",Activo sintético.,IOT-ACT-022
