ID,codigo,solicitud,cotizacion,cliente,activo,tecnico,contactoEnSitio,direccion,ubicacionTrabajo,inicio,fin,estado,diagnostico,solucion,resolucionPrimeraVisita,aceptacionCliente,valorFinal,proximoMantenimiento,externalID,inicioReal,finReal
orden-trabajo-001,OTR-DEMO-001,solicitud-servicio-001,cotizacion-001,cliente-servicio-001,activo-001,tecnica-demo,Contacto operativo 1,"Calle de servicio 1, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-07-20T20:00:00Z,2026-07-20T22:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,585000,2026-10-30,FSM-OT-001,,
orden-trabajo-002,OTR-DEMO-002,solicitud-servicio-002,cotizacion-002,cliente-servicio-002,activo-002,tecnica-demo,Contacto operativo 2,"Calle de servicio 2, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-07-21T21:00:00Z,2026-07-21T23:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,650000,2026-10-31,FSM-OT-002,2026-07-21T21:12:00Z,
orden-trabajo-003,OTR-DEMO-003,solicitud-servicio-003,cotizacion-003,cliente-servicio-003,activo-003,tecnica-demo,Contacto operativo 3,"Calle de servicio 3, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-07-22T22:00:00Z,2026-07-23T00:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,715000,2026-11-01,FSM-OT-003,2026-07-22T22:12:00Z,2026-07-23T00:00:00Z
orden-trabajo-004,OTR-DEMO-004,solicitud-servicio-004,cotizacion-004,cliente-servicio-004,activo-004,tecnica-demo,Contacto operativo 4,"Calle de servicio 4, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-07-23T23:00:00Z,2026-07-24T01:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,780000,2026-11-02,FSM-OT-004,,
orden-trabajo-005,OTR-DEMO-005,solicitud-servicio-005,cotizacion-005,cliente-servicio-005,activo-005,tecnica-demo,Contacto operativo 5,"Calle de servicio 5, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-07-25T00:00:00Z,2026-07-25T02:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,845000,2026-11-03,FSM-OT-005,,
orden-trabajo-006,OTR-DEMO-006,solicitud-servicio-006,cotizacion-006,cliente-servicio-006,activo-006,tecnica-demo,Contacto operativo 6,"Calle de servicio 6, Pereira","{""coordinates"":[4.808,-75.683]}",2026-07-26T01:00:00Z,2026-07-26T03:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,910000,2026-11-04,FSM-OT-006,2026-07-26T01:12:00Z,
orden-trabajo-007,OTR-DEMO-007,solicitud-servicio-007,cotizacion-007,cliente-servicio-007,activo-007,tecnica-demo,Contacto operativo 7,"Calle de servicio 7, Manizales","{""coordinates"":[5.06,-75.493]}",2026-07-27T02:00:00Z,2026-07-27T04:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,975000,2026-11-05,FSM-OT-007,2026-07-27T02:12:00Z,2026-07-27T04:00:00Z
orden-trabajo-008,OTR-DEMO-008,solicitud-servicio-008,cotizacion-008,cliente-servicio-008,activo-008,tecnica-demo,Contacto operativo 8,"Calle de servicio 8, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-07-27T19:00:00Z,2026-07-27T21:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,1040000,2026-11-06,FSM-OT-008,,
orden-trabajo-009,OTR-DEMO-009,solicitud-servicio-009,cotizacion-009,cliente-servicio-009,activo-009,tecnica-demo,Contacto operativo 9,"Calle de servicio 9, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-07-28T20:00:00Z,2026-07-28T22:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1105000,2026-11-07,FSM-OT-009,,
orden-trabajo-010,OTR-DEMO-010,solicitud-servicio-010,cotizacion-010,cliente-servicio-010,activo-010,tecnica-demo,Contacto operativo 10,"Calle de servicio 10, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-07-29T21:00:00Z,2026-07-29T23:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1170000,2026-11-08,FSM-OT-010,2026-07-29T21:12:00Z,
orden-trabajo-011,OTR-DEMO-011,solicitud-servicio-011,cotizacion-011,cliente-servicio-011,activo-011,tecnica-demo,Contacto operativo 11,"Calle de servicio 11, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-07-30T22:00:00Z,2026-07-31T00:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,1235000,2026-11-09,FSM-OT-011,2026-07-30T22:12:00Z,2026-07-31T00:00:00Z
orden-trabajo-012,OTR-DEMO-012,solicitud-servicio-012,cotizacion-012,cliente-servicio-012,activo-012,tecnica-demo,Contacto operativo 12,"Calle de servicio 12, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-07-31T23:00:00Z,2026-08-01T01:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,1300000,2026-11-10,FSM-OT-012,,
orden-trabajo-013,OTR-DEMO-013,solicitud-servicio-013,cotizacion-013,cliente-servicio-013,activo-013,tecnica-demo,Contacto operativo 13,"Calle de servicio 13, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-08-02T00:00:00Z,2026-08-02T02:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1365000,2026-11-11,FSM-OT-013,,
orden-trabajo-014,OTR-DEMO-014,solicitud-servicio-014,cotizacion-014,cliente-servicio-014,activo-014,tecnica-demo,Contacto operativo 14,"Calle de servicio 14, Cartagena","{""coordinates"":[10.4176,-75.5475]}",2026-08-03T01:00:00Z,2026-08-03T03:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1430000,2026-11-12,FSM-OT-014,2026-08-03T01:12:00Z,
orden-trabajo-015,OTR-DEMO-015,solicitud-servicio-015,cotizacion-015,cliente-servicio-015,activo-015,tecnica-demo,Contacto operativo 15,"Calle de servicio 15, Bucaramanga","{""coordinates"":[7.1254,-73.11]}",2026-08-04T02:00:00Z,2026-08-04T04:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,1495000,2026-11-13,FSM-OT-015,2026-08-04T02:12:00Z,2026-08-04T04:00:00Z
orden-trabajo-016,OTR-DEMO-016,solicitud-servicio-016,cotizacion-016,cliente-servicio-016,activo-016,tecnica-demo,Contacto operativo 16,"Calle de servicio 16, Pereira","{""coordinates"":[4.808,-75.683]}",2026-08-04T19:00:00Z,2026-08-04T21:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,1560000,2026-11-14,FSM-OT-016,,
orden-trabajo-017,OTR-DEMO-017,solicitud-servicio-017,cotizacion-017,cliente-servicio-017,activo-017,tecnica-demo,Contacto operativo 17,"Calle de servicio 17, Manizales","{""coordinates"":[5.06,-75.493]}",2026-08-05T20:00:00Z,2026-08-05T22:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1625000,2026-11-15,FSM-OT-017,,
orden-trabajo-018,OTR-DEMO-018,solicitud-servicio-018,cotizacion-018,cliente-servicio-018,activo-018,tecnica-demo,Contacto operativo 18,"Calle de servicio 18, Ibagué","{""coordinates"":[4.4449,-75.2382]}",2026-08-06T21:00:00Z,2026-08-06T23:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1690000,2026-11-16,FSM-OT-018,2026-08-06T21:12:00Z,
orden-trabajo-019,OTR-DEMO-019,solicitud-servicio-019,cotizacion-019,cliente-servicio-019,activo-019,tecnica-demo,Contacto operativo 19,"Calle de servicio 19, Villavicencio","{""coordinates"":[4.15,-73.6346]}",2026-08-07T22:00:00Z,2026-08-08T00:00:00Z,Cancelada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,1755000,2026-11-17,FSM-OT-019,2026-08-07T22:12:00Z,2026-08-08T00:00:00Z
orden-trabajo-020,OTR-DEMO-020,solicitud-servicio-020,cotizacion-020,cliente-servicio-020,activo-020,tecnica-demo,Contacto operativo 20,"Calle de servicio 20, Bogotá","{""coordinates"":[4.6486,-74.0637]}",2026-08-08T23:00:00Z,2026-08-09T01:00:00Z,Programada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,false,false,1820000,2026-11-18,FSM-OT-020,,
orden-trabajo-021,OTR-DEMO-021,solicitud-servicio-021,cotizacion-021,cliente-servicio-021,activo-021,tecnica-demo,Contacto operativo 21,"Calle de servicio 21, Medellín","{""coordinates"":[6.2108,-75.5699]}",2026-08-10T00:00:00Z,2026-08-10T02:00:00Z,En camino,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1885000,2026-11-19,FSM-OT-021,,
orden-trabajo-022,OTR-DEMO-022,solicitud-servicio-022,cotizacion-022,cliente-servicio-022,activo-022,tecnica-demo,Contacto operativo 22,"Calle de servicio 22, Cali","{""coordinates"":[3.3737,-76.5351]}",2026-08-11T01:00:00Z,2026-08-11T03:00:00Z,En ejecución,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,false,1950000,2026-11-20,FSM-OT-022,2026-08-11T01:12:00Z,
orden-trabajo-023,OTR-DEMO-023,solicitud-servicio-023,cotizacion-023,cliente-servicio-023,activo-023,tecnica-demo,Contacto operativo 23,"Calle de servicio 23, Barranquilla","{""coordinates"":[11.0162,-74.8271]}",2026-08-12T02:00:00Z,2026-08-12T04:00:00Z,Completada,Diagnóstico sintético.,Servicio ejecutado según procedimiento.,true,true,2015000,2026-11-21,FSM-OT-023,2026-08-12T02:12:00Z,2026-08-12T04:00:00Z
