ID,cotizacion,secuencia,tipo,descripcion,cantidad,valorUnitario,impuestoPorcentaje,total
item-cotizacion-001,cotizacion-001,1,Material,Concepto técnico detallado de la cotización #1,2,98500,19,197000
item-cotizacion-002,cotizacion-002,1,Desplazamiento,Concepto técnico detallado de la cotización #2,3,102000,19,306000
item-cotizacion-003,cotizacion-003,1,Otro,Concepto técnico detallado de la cotización #3,1,105500,19,105500
item-cotizacion-004,cotizacion-004,1,Mano de obra,Concepto técnico detallado de la cotización #4,2,109000,19,218000
item-cotizacion-005,cotizacion-005,1,Material,Concepto técnico detallado de la cotización #5,3,112500,19,337500
item-cotizacion-006,cotizacion-006,1,Desplazamiento,Concepto técnico detallado de la cotización #6,1,116000,19,116000
item-cotizacion-007,cotizacion-007,1,Otro,Concepto técnico detallado de la cotización #7,2,119500,19,239000
item-cotizacion-008,cotizacion-008,1,Mano de obra,Concepto técnico detallado de la cotización #8,3,123000,19,369000
item-cotizacion-009,cotizacion-009,1,Material,Concepto técnico detallado de la cotización #9,1,126500,19,126500
item-cotizacion-010,cotizacion-010,1,Desplazamiento,Concepto técnico detallado de la cotización #10,2,130000,19,260000
item-cotizacion-011,cotizacion-011,1,Otro,Concepto técnico detallado de la cotización #11,3,133500,19,400500
item-cotizacion-012,cotizacion-012,1,Mano de obra,Concepto técnico detallado de la cotización #12,1,137000,19,137000
item-cotizacion-013,cotizacion-013,1,Material,Concepto técnico detallado de la cotización #13,2,140500,19,281000
item-cotizacion-014,cotizacion-014,1,Desplazamiento,Concepto técnico detallado de la cotización #14,3,144000,19,432000
item-cotizacion-015,cotizacion-015,1,Otro,Concepto técnico detallado de la cotización #15,1,147500,19,147500
item-cotizacion-016,cotizacion-016,1,Mano de obra,Concepto técnico detallado de la cotización #16,2,151000,19,302000
item-cotizacion-017,cotizacion-017,1,Material,Concepto técnico detallado de la cotización #17,3,154500,19,463500
item-cotizacion-018,cotizacion-018,1,Desplazamiento,Concepto técnico detallado de la cotización #18,1,158000,19,158000
item-cotizacion-019,cotizacion-019,1,Otro,Concepto técnico detallado de la cotización #19,2,161500,19,323000
