ID,codigo,cliente,activo,contactoEnSitio,ubicacionServicio,canal,tipoServicio,prioridad,descripcion,estado,responsable,ventanaInicio,ventanaFin,requiereVisitaDiagnostico,vencimientoSLA,slaIncumplido,externalID,proveedorExterno,estadoIntegracion
solicitud-servicio-001,ST-SOL-001,cliente-servicio-001,activo-001,Contacto operativo 1,"{""coordinates"":[6.2108,-75.5699]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-29T21:00:00Z,2026-07-30T01:00:00Z,false,2026-07-30T19:00:00Z,false,FSM-SOL-001,Portal demo,Local
solicitud-servicio-002,ST-SOL-002,cliente-servicio-002,activo-002,Contacto operativo 2,"{""coordinates"":[3.3737,-76.5351]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-07-30T22:00:00Z,2026-07-31T02:00:00Z,false,2026-07-30T20:00:00Z,false,FSM-SOL-002,Portal demo,Local
solicitud-servicio-003,ST-SOL-003,cliente-servicio-003,activo-003,Contacto operativo 3,"{""coordinates"":[11.0162,-74.8271]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-07-31T23:00:00Z,2026-08-01T03:00:00Z,true,2026-07-30T21:00:00Z,false,FSM-SOL-003,Portal demo,Local
solicitud-servicio-004,ST-SOL-004,cliente-servicio-004,activo-004,Contacto operativo 4,"{""coordinates"":[10.4176,-75.5475]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-02T00:00:00Z,2026-08-02T04:00:00Z,false,2026-07-30T22:00:00Z,false,FSM-SOL-004,Portal demo,Local
solicitud-servicio-005,ST-SOL-005,cliente-servicio-005,activo-005,Contacto operativo 5,"{""coordinates"":[7.1254,-73.11]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-03T01:00:00Z,2026-08-03T05:00:00Z,false,2026-07-30T23:00:00Z,false,FSM-SOL-005,Portal demo,Local
solicitud-servicio-006,ST-SOL-006,cliente-servicio-006,activo-006,Contacto operativo 6,"{""coordinates"":[4.808,-75.683]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-04T02:00:00Z,2026-08-04T06:00:00Z,true,2026-07-31T00:00:00Z,false,FSM-SOL-006,Portal demo,Local
solicitud-servicio-007,ST-SOL-007,cliente-servicio-007,activo-007,Contacto operativo 7,"{""coordinates"":[5.06,-75.493]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-08-05T03:00:00Z,2026-08-05T07:00:00Z,false,2026-07-31T01:00:00Z,false,FSM-SOL-007,Portal demo,Local
solicitud-servicio-008,ST-SOL-008,cliente-servicio-008,activo-008,Contacto operativo 8,"{""coordinates"":[4.4449,-75.2382]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-08-05T20:00:00Z,2026-08-06T00:00:00Z,false,2026-07-31T02:00:00Z,false,FSM-SOL-008,Portal demo,Local
solicitud-servicio-009,ST-SOL-009,cliente-servicio-009,activo-009,Contacto operativo 9,"{""coordinates"":[4.15,-73.6346]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cotizada,supervisora-demo,2026-08-06T21:00:00Z,2026-08-07T01:00:00Z,true,2026-07-31T03:00:00Z,true,FSM-SOL-009,Portal demo,Local
solicitud-servicio-010,ST-SOL-010,cliente-servicio-010,activo-010,Contacto operativo 10,"{""coordinates"":[4.6486,-74.0637]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Aceptada,supervisora-demo,2026-08-07T22:00:00Z,2026-08-08T02:00:00Z,false,2026-07-31T04:00:00Z,false,FSM-SOL-010,Portal demo,Local
solicitud-servicio-011,ST-SOL-011,cliente-servicio-011,activo-011,Contacto operativo 11,"{""coordinates"":[6.2108,-75.5699]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,Programada,supervisora-demo,2026-08-08T23:00:00Z,2026-08-09T03:00:00Z,false,2026-07-31T05:00:00Z,false,FSM-SOL-011,Portal demo,Local
solicitud-servicio-012,ST-SOL-012,cliente-servicio-012,activo-012,Contacto operativo 12,"{""coordinates"":[3.3737,-76.5351]}",Teléfono,Instalación,Baja,Solicitud sintética con alcance técnico documentado.,Ejecutada,supervisora-demo,2026-08-10T00:00:00Z,2026-08-10T04:00:00Z,true,2026-07-31T06:00:00Z,false,FSM-SOL-012,Portal demo,Local
solicitud-servicio-013,ST-SOL-013,cliente-servicio-013,activo-013,Contacto operativo 13,"{""coordinates"":[11.0162,-74.8271]}",WhatsApp,Mantenimiento,Media,Solicitud sintética con alcance técnico documentado.,Cerrada,supervisora-demo,2026-08-11T01:00:00Z,2026-08-11T05:00:00Z,false,2026-07-31T07:00:00Z,false,FSM-SOL-013,Portal demo,Local
solicitud-servicio-014,ST-SOL-014,cliente-servicio-014,activo-014,Contacto operativo 14,"{""coordinates"":[10.4176,-75.5475]}",Correo,Reparación,Alta,Solicitud sintética con alcance técnico documentado.,Recibida,supervisora-demo,2026-07-29T02:00:00Z,2026-07-29T06:00:00Z,false,2026-07-31T08:00:00Z,false,FSM-SOL-014,Portal demo,Local
solicitud-servicio-015,ST-SOL-015,cliente-servicio-015,activo-015,Contacto operativo 15,"{""coordinates"":[7.1254,-73.11]}",Web,Diagnóstico remoto,Crítica,Solicitud sintética con alcance técnico documentado.,En diagnóstico,supervisora-demo,2026-07-30T03:00:00Z,2026-07-30T07:00:00Z,true,2026-07-31T09:00:00Z,false,FSM-SOL-015,Portal demo,Local
