ID,asunto,lead,inmueble,asesor,tipo,estado,prioridad,fecha,resultado,proximaAccion,vencimiento,observaciones
actividad-001,Seguimiento comercial #1,lead-002,inmueble-002,asesor-demo,WhatsApp,En curso,Media,2026-07-31T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-02T12:00:00Z,2026-08-02T16:00:00Z,Actividad comercial sintética.
actividad-002,Seguimiento comercial #2,lead-003,inmueble-003,asesora-demo,Correo,Completada,Alta,2026-07-31T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-03T12:00:00Z,2026-08-03T16:00:00Z,Actividad comercial sintética.
actividad-003,Seguimiento comercial #3,lead-004,inmueble-004,asesor-demo,Nota,Cancelada,Baja,2026-07-31T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-04T12:00:00Z,2026-08-04T16:00:00Z,Actividad comercial sintética.
actividad-004,Seguimiento comercial #4,lead-005,inmueble-005,asesora-demo,Seguimiento,Pendiente,Media,2026-07-31T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-05T12:00:00Z,2026-08-05T16:00:00Z,Actividad comercial sintética.
actividad-005,Seguimiento comercial #5,lead-006,inmueble-006,asesor-demo,Llamada,En curso,Alta,2026-07-30T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-06T12:00:00Z,2026-08-06T16:00:00Z,Actividad comercial sintética.
actividad-006,Seguimiento comercial #6,lead-007,inmueble-007,asesora-demo,WhatsApp,Completada,Baja,2026-07-30T18:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-07T12:00:00Z,2026-08-07T16:00:00Z,Actividad comercial sintética.
actividad-007,Seguimiento comercial #7,lead-008,inmueble-008,asesor-demo,Correo,Cancelada,Media,2026-07-30T15:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-08T12:00:00Z,2026-08-08T16:00:00Z,Actividad comercial sintética.
actividad-008,Seguimiento comercial #8,lead-009,inmueble-009,asesora-demo,Nota,Pendiente,Alta,2026-07-30T12:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-09T12:00:00Z,2026-08-09T16:00:00Z,Actividad comercial sintética.
actividad-009,Seguimiento comercial #9,lead-010,inmueble-010,asesor-demo,Seguimiento,En curso,Baja,2026-07-30T09:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-10T12:00:00Z,2026-08-10T16:00:00Z,Actividad comercial sintética.
actividad-010,Seguimiento comercial #10,lead-011,inmueble-011,asesora-demo,Llamada,Completada,Media,2026-07-30T06:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-11T12:00:00Z,2026-08-11T16:00:00Z,Actividad comercial sintética.
actividad-011,Seguimiento comercial #11,lead-012,inmueble-012,asesor-demo,WhatsApp,Cancelada,Alta,2026-07-30T03:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-12T12:00:00Z,2026-08-12T16:00:00Z,Actividad comercial sintética.
actividad-012,Seguimiento comercial #12,lead-013,inmueble-013,asesora-demo,Correo,Pendiente,Baja,2026-07-30T00:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-13T12:00:00Z,2026-08-13T16:00:00Z,Actividad comercial sintética.
actividad-013,Seguimiento comercial #13,lead-014,inmueble-014,asesor-demo,Nota,En curso,Media,2026-07-29T21:00:00Z,Contacto efectivo y necesidad actualizada.,2026-08-14T12:00:00Z,2026-08-14T16:00:00Z,Actividad comercial sintética.
