ID,codigo,campana,contacto,agente,prioridad,intentos,proximoIntento,estado,ultimoResultado,fechaAsignacion,externalID
registro-campana-001,CALL-REG-001,campana-002,contacto-001,agente-demo,Media,1,2026-07-31T13:00:00Z,En gestión,No contesta,2026-07-30T12:00:00Z,DIALER-REG-001
registro-campana-002,CALL-REG-002,campana-003,contacto-002,agente-demo,Alta,2,2026-07-31T14:00:00Z,Callback,Callback,2026-07-29T12:00:00Z,DIALER-REG-002
registro-campana-003,CALL-REG-003,campana-004,contacto-003,agente-demo,Baja,3,2026-07-31T15:00:00Z,Contactado,Contactado,2026-07-28T12:00:00Z,DIALER-REG-003
registro-campana-004,CALL-REG-004,campana-001,contacto-004,agente-demo,Media,4,2026-07-31T16:00:00Z,Calificado,Calificado,2026-07-27T12:00:00Z,DIALER-REG-004
registro-campana-005,CALL-REG-005,campana-002,contacto-005,agente-demo,Alta,0,2026-07-31T17:00:00Z,Cerrado,No interesado,2026-07-26T12:00:00Z,DIALER-REG-005
registro-campana-006,CALL-REG-006,campana-003,contacto-006,agente-demo,Baja,1,2026-07-31T18:00:00Z,Pendiente,Pendiente,2026-07-25T12:00:00Z,DIALER-REG-006
registro-campana-007,CALL-REG-007,campana-004,contacto-007,agente-demo,Media,2,2026-07-31T19:00:00Z,En gestión,No contesta,2026-07-24T12:00:00Z,DIALER-REG-007
registro-campana-008,CALL-REG-008,campana-001,contacto-008,agente-demo,Alta,3,2026-07-31T20:00:00Z,Callback,Callback,2026-07-23T12:00:00Z,DIALER-REG-008
registro-campana-009,CALL-REG-009,campana-002,contacto-009,agente-demo,Baja,4,2026-07-31T21:00:00Z,Contactado,Contactado,2026-07-22T12:00:00Z,DIALER-REG-009
registro-campana-010,CALL-REG-010,campana-003,contacto-010,agente-demo,Media,0,2026-07-31T22:00:00Z,Calificado,Calificado,2026-07-21T12:00:00Z,DIALER-REG-010
registro-campana-011,CALL-REG-011,campana-004,contacto-011,agente-demo,Alta,1,2026-07-31T23:00:00Z,Cerrado,No interesado,2026-07-20T12:00:00Z,DIALER-REG-011
registro-campana-012,CALL-REG-012,campana-001,contacto-012,agente-demo,Baja,2,2026-08-01T00:00:00Z,Pendiente,Pendiente,2026-07-19T12:00:00Z,DIALER-REG-012
registro-campana-013,CALL-REG-013,campana-002,contacto-013,agente-demo,Media,3,2026-08-01T01:00:00Z,En gestión,No contesta,2026-07-18T12:00:00Z,DIALER-REG-013
registro-campana-014,CALL-REG-014,campana-003,contacto-014,agente-demo,Alta,4,2026-08-01T02:00:00Z,Callback,Callback,2026-07-17T12:00:00Z,DIALER-REG-014
registro-campana-015,CALL-REG-015,campana-004,contacto-015,agente-demo,Baja,0,2026-08-01T03:00:00Z,Contactado,Contactado,2026-07-16T12:00:00Z,DIALER-REG-015
registro-campana-016,CALL-REG-016,campana-001,contacto-016,agente-demo,Media,1,2026-08-01T04:00:00Z,Calificado,Calificado,2026-07-15T12:00:00Z,DIALER-REG-016
registro-campana-017,CALL-REG-017,campana-002,contacto-017,agente-demo,Alta,2,2026-08-01T05:00:00Z,Cerrado,No interesado,2026-07-14T12:00:00Z,DIALER-REG-017
registro-campana-018,CALL-REG-018,campana-003,contacto-018,agente-demo,Baja,3,2026-08-01T06:00:00Z,Pendiente,Pendiente,2026-07-13T12:00:00Z,DIALER-REG-018
registro-campana-019,CALL-REG-019,campana-004,contacto-019,agente-demo,Media,4,2026-08-01T07:00:00Z,En gestión,No contesta,2026-07-12T12:00:00Z,DIALER-REG-019
registro-campana-020,CALL-REG-020,campana-001,contacto-020,agente-demo,Alta,0,2026-08-01T08:00:00Z,Callback,Callback,2026-07-31T12:00:00Z,DIALER-REG-020
registro-campana-021,CALL-REG-021,campana-002,contacto-021,agente-demo,Baja,1,2026-08-01T09:00:00Z,Contactado,Contactado,2026-07-30T12:00:00Z,DIALER-REG-021
registro-campana-022,CALL-REG-022,campana-003,contacto-022,agente-demo,Media,2,2026-08-01T10:00:00Z,Calificado,Calificado,2026-07-29T12:00:00Z,DIALER-REG-022
registro-campana-023,CALL-REG-023,campana-004,contacto-023,agente-demo,Alta,3,2026-08-01T11:00:00Z,Cerrado,No interesado,2026-07-28T12:00:00Z,DIALER-REG-023
registro-campana-024,CALL-REG-024,campana-001,contacto-024,agente-demo,Baja,4,2026-08-01T12:00:00Z,Pendiente,Pendiente,2026-07-27T12:00:00Z,DIALER-REG-024
registro-campana-025,CALL-REG-025,campana-002,contacto-025,agente-demo,Media,0,2026-08-01T13:00:00Z,En gestión,No contesta,2026-07-26T12:00:00Z,DIALER-REG-025
registro-campana-026,CALL-REG-026,campana-003,contacto-026,agente-demo,Alta,1,2026-08-01T14:00:00Z,Callback,Callback,2026-07-25T12:00:00Z,DIALER-REG-026
registro-campana-027,CALL-REG-027,campana-004,contacto-027,agente-demo,Baja,2,2026-08-01T15:00:00Z,Contactado,Contactado,2026-07-24T12:00:00Z,DIALER-REG-027
registro-campana-028,CALL-REG-028,campana-001,contacto-028,agente-demo,Media,3,2026-08-01T16:00:00Z,Calificado,Calificado,2026-07-23T12:00:00Z,DIALER-REG-028
registro-campana-029,CALL-REG-029,campana-002,contacto-029,agente-demo,Alta,4,2026-08-01T17:00:00Z,Cerrado,No interesado,2026-07-22T12:00:00Z,DIALER-REG-029
registro-campana-030,CALL-REG-030,campana-003,contacto-030,agente-demo,Baja,0,2026-08-01T18:00:00Z,Pendiente,Pendiente,2026-07-21T12:00:00Z,DIALER-REG-030
registro-campana-031,CALL-REG-031,campana-004,contacto-031,agente-demo,Media,1,2026-08-01T19:00:00Z,En gestión,No contesta,2026-07-20T12:00:00Z,DIALER-REG-031
registro-campana-032,CALL-REG-032,campana-001,contacto-032,agente-demo,Alta,2,2026-08-01T20:00:00Z,Callback,Callback,2026-07-19T12:00:00Z,DIALER-REG-032
registro-campana-033,CALL-REG-033,campana-002,contacto-033,agente-demo,Baja,3,2026-08-01T21:00:00Z,Contactado,Contactado,2026-07-18T12:00:00Z,DIALER-REG-033
registro-campana-034,CALL-REG-034,campana-003,contacto-034,agente-demo,Media,4,2026-08-01T22:00:00Z,Calificado,Calificado,2026-07-17T12:00:00Z,DIALER-REG-034
registro-campana-035,CALL-REG-035,campana-004,contacto-035,agente-demo,Alta,0,2026-08-01T23:00:00Z,Cerrado,No interesado,2026-07-16T12:00:00Z,DIALER-REG-035
registro-campana-036,CALL-REG-036,campana-001,contacto-036,agente-demo,Baja,1,2026-08-02T00:00:00Z,Pendiente,Pendiente,2026-07-15T12:00:00Z,DIALER-REG-036
registro-campana-037,CALL-REG-037,campana-002,contacto-037,agente-demo,Media,2,2026-08-02T01:00:00Z,En gestión,No contesta,2026-07-14T12:00:00Z,DIALER-REG-037
registro-campana-038,CALL-REG-038,campana-003,contacto-038,agente-demo,Alta,3,2026-08-02T02:00:00Z,Callback,Callback,2026-07-13T12:00:00Z,DIALER-REG-038
registro-campana-039,CALL-REG-039,campana-004,contacto-039,agente-demo,Baja,4,2026-08-02T03:00:00Z,Contactado,Contactado,2026-07-12T12:00:00Z,DIALER-REG-039
registro-campana-040,CALL-REG-040,campana-001,contacto-040,agente-demo,Media,0,2026-08-02T04:00:00Z,Calificado,Calificado,2026-07-31T12:00:00Z,DIALER-REG-040
registro-campana-041,CALL-REG-041,campana-002,contacto-041,agente-demo,Alta,1,2026-08-02T05:00:00Z,Cerrado,No interesado,2026-07-30T12:00:00Z,DIALER-REG-041
registro-campana-042,CALL-REG-042,campana-003,contacto-042,agente-demo,Baja,2,2026-08-02T06:00:00Z,Pendiente,Pendiente,2026-07-29T12:00:00Z,DIALER-REG-042
registro-campana-043,CALL-REG-043,campana-004,contacto-043,agente-demo,Media,3,2026-08-02T07:00:00Z,En gestión,No contesta,2026-07-28T12:00:00Z,DIALER-REG-043
registro-campana-044,CALL-REG-044,campana-001,contacto-044,agente-demo,Alta,4,2026-08-02T08:00:00Z,Callback,Callback,2026-07-27T12:00:00Z,DIALER-REG-044
registro-campana-045,CALL-REG-045,campana-002,contacto-045,agente-demo,Baja,0,2026-08-02T09:00:00Z,Contactado,Contactado,2026-07-26T12:00:00Z,DIALER-REG-045
registro-campana-046,CALL-REG-046,campana-003,contacto-046,agente-demo,Media,1,2026-08-02T10:00:00Z,Calificado,Calificado,2026-07-25T12:00:00Z,DIALER-REG-046
