ID,codigo,nombre,objetivo,producto,guion,prioridad,fechaInicio,fechaFin,horaInicio,horaFin,metaContactos,metaVentas,maximoIntentos,estado,externalID
campana-001,CALL-CAMP-001,Prospectos digitales - segmento 001,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-20,2026-08-16,08:00,18:00,82,16,5,Activa,DIALER-CAMP-001
campana-002,CALL-CAMP-002,Recuperación - segmento 002,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-19,2026-08-17,08:00,18:00,84,17,5,Pausada,DIALER-CAMP-002
campana-003,CALL-CAMP-003,Renovación - segmento 003,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-18,2026-08-18,08:00,18:00,86,18,5,Finalizada,DIALER-CAMP-003
campana-004,CALL-CAMP-004,Venta cruzada - segmento 004,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-17,2026-08-19,08:00,18:00,88,19,5,Borrador,DIALER-CAMP-004
campana-005,CALL-CAMP-005,Prospectos digitales - segmento 005,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-16,2026-08-20,08:00,18:00,90,20,5,Activa,DIALER-CAMP-005
campana-006,CALL-CAMP-006,Recuperación - segmento 006,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-15,2026-08-21,08:00,18:00,92,21,5,Pausada,DIALER-CAMP-006
campana-007,CALL-CAMP-007,Renovación - segmento 007,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-14,2026-08-22,08:00,18:00,94,22,5,Finalizada,DIALER-CAMP-007
campana-008,CALL-CAMP-008,Venta cruzada - segmento 008,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-13,2026-08-23,08:00,18:00,96,23,5,Borrador,DIALER-CAMP-008
campana-009,CALL-CAMP-009,Prospectos digitales - segmento 009,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-12,2026-08-24,08:00,18:00,98,24,5,Activa,DIALER-CAMP-009
campana-010,CALL-CAMP-010,Recuperación - segmento 010,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-11,2026-08-25,08:00,18:00,100,25,5,Pausada,DIALER-CAMP-010
campana-011,CALL-CAMP-011,Renovación - segmento 011,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-10,2026-08-26,08:00,18:00,102,26,5,Finalizada,DIALER-CAMP-011
campana-012,CALL-CAMP-012,Venta cruzada - segmento 012,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-09,2026-08-27,08:00,18:00,104,27,5,Borrador,DIALER-CAMP-012
campana-013,CALL-CAMP-013,Prospectos digitales - segmento 013,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-08,2026-08-28,08:00,18:00,106,28,5,Activa,DIALER-CAMP-013
campana-014,CALL-CAMP-014,Recuperación - segmento 014,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-07,2026-08-29,08:00,18:00,108,29,5,Pausada,DIALER-CAMP-014
campana-015,CALL-CAMP-015,Renovación - segmento 015,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-06,2026-08-30,08:00,18:00,110,30,5,Finalizada,DIALER-CAMP-015
campana-016,CALL-CAMP-016,Venta cruzada - segmento 016,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-05,2026-08-31,08:00,18:00,112,31,5,Borrador,DIALER-CAMP-016
campana-017,CALL-CAMP-017,Prospectos digitales - segmento 017,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-04,2026-09-01,08:00,18:00,114,32,5,Activa,DIALER-CAMP-017
campana-018,CALL-CAMP-018,Recuperación - segmento 018,Recuperación,Plan Regreso,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-03,2026-09-02,08:00,18:00,116,33,5,Pausada,DIALER-CAMP-018
campana-019,CALL-CAMP-019,Renovación - segmento 019,Venta adicional,Renovación Anual,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-02,2026-09-03,08:00,18:00,118,34,5,Finalizada,DIALER-CAMP-019
campana-020,CALL-CAMP-020,Venta cruzada - segmento 020,Venta,Plan Premium,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Alta,2026-07-21,2026-09-04,08:00,18:00,120,35,5,Borrador,DIALER-CAMP-020
campana-021,CALL-CAMP-021,Prospectos digitales - segmento 021,Venta,Servicio Empresarial,"Saludo, descubrimiento de necesidad, presentación de valor y cierre.",Media,2026-07-20,2026-09-05,08:00,18:00,122,36,5,Activa,DIALER-CAMP-021
