ID,orden,secuencia,tarea,obligatoria,tecnico,estado,inicioReal,resultado,finReal
tarea-orden-001,orden-trabajo-001,1,"Diagnóstico, ejecución y validación de la orden #1",1,tecnica-demo,En ejecución,2026-07-31T11:00:00Z,Punto de control técnico documentado.,
tarea-orden-002,orden-trabajo-002,1,"Diagnóstico, ejecución y validación de la orden #2",1,tecnica-demo,Completada,2026-07-31T10:00:00Z,Punto de control técnico documentado.,2026-07-31T10:55:00Z
tarea-orden-003,orden-trabajo-003,1,"Diagnóstico, ejecución y validación de la orden #3",1,tecnica-demo,No aplica,2026-07-31T09:00:00Z,Punto de control técnico documentado.,
tarea-orden-004,orden-trabajo-004,1,"Diagnóstico, ejecución y validación de la orden #4",1,tecnica-demo,Pendiente,2026-07-31T08:00:00Z,Punto de control técnico documentado.,
tarea-orden-005,orden-trabajo-005,1,"Diagnóstico, ejecución y validación de la orden #5",1,tecnica-demo,En ejecución,2026-07-31T07:00:00Z,Punto de control técnico documentado.,
tarea-orden-006,orden-trabajo-006,1,"Diagnóstico, ejecución y validación de la orden #6",1,tecnica-demo,Completada,2026-07-31T06:00:00Z,Punto de control técnico documentado.,2026-07-31T06:55:00Z
tarea-orden-007,orden-trabajo-007,1,"Diagnóstico, ejecución y validación de la orden #7",1,tecnica-demo,No aplica,2026-07-31T05:00:00Z,Punto de control técnico documentado.,
tarea-orden-008,orden-trabajo-008,1,"Diagnóstico, ejecución y validación de la orden #8",1,tecnica-demo,Pendiente,2026-07-31T04:00:00Z,Punto de control técnico documentado.,
tarea-orden-009,orden-trabajo-009,1,"Diagnóstico, ejecución y validación de la orden #9",1,tecnica-demo,En ejecución,2026-07-31T03:00:00Z,Punto de control técnico documentado.,
tarea-orden-010,orden-trabajo-010,1,"Diagnóstico, ejecución y validación de la orden #10",1,tecnica-demo,Completada,2026-07-31T02:00:00Z,Punto de control técnico documentado.,2026-07-31T02:55:00Z
tarea-orden-011,orden-trabajo-011,1,"Diagnóstico, ejecución y validación de la orden #11",1,tecnica-demo,No aplica,2026-07-31T01:00:00Z,Punto de control técnico documentado.,
tarea-orden-012,orden-trabajo-012,1,"Diagnóstico, ejecución y validación de la orden #12",1,tecnica-demo,Pendiente,2026-07-31T00:00:00Z,Punto de control técnico documentado.,
tarea-orden-013,orden-trabajo-013,1,"Diagnóstico, ejecución y validación de la orden #13",1,tecnica-demo,En ejecución,2026-07-30T23:00:00Z,Punto de control técnico documentado.,
tarea-orden-014,orden-trabajo-014,1,"Diagnóstico, ejecución y validación de la orden #14",1,tecnica-demo,Completada,2026-07-30T22:00:00Z,Punto de control técnico documentado.,2026-07-30T22:55:00Z
tarea-orden-015,orden-trabajo-015,1,"Diagnóstico, ejecución y validación de la orden #15",1,tecnica-demo,No aplica,2026-07-30T21:00:00Z,Punto de control técnico documentado.,
tarea-orden-016,orden-trabajo-016,1,"Diagnóstico, ejecución y validación de la orden #16",1,tecnica-demo,Pendiente,2026-07-30T20:00:00Z,Punto de control técnico documentado.,
tarea-orden-017,orden-trabajo-017,1,"Diagnóstico, ejecución y validación de la orden #17",1,tecnica-demo,En ejecución,2026-07-30T19:00:00Z,Punto de control técnico documentado.,
tarea-orden-018,orden-trabajo-018,1,"Diagnóstico, ejecución y validación de la orden #18",1,tecnica-demo,Completada,2026-07-30T18:00:00Z,Punto de control técnico documentado.,2026-07-30T18:55:00Z
tarea-orden-019,orden-trabajo-019,1,"Diagnóstico, ejecución y validación de la orden #19",1,tecnica-demo,No aplica,2026-07-30T17:00:00Z,Punto de control técnico documentado.,
tarea-orden-020,orden-trabajo-020,1,"Diagnóstico, ejecución y validación de la orden #20",1,tecnica-demo,Pendiente,2026-07-30T16:00:00Z,Punto de control técnico documentado.,
tarea-orden-021,orden-trabajo-021,1,"Diagnóstico, ejecución y validación de la orden #21",1,tecnica-demo,En ejecución,2026-07-30T15:00:00Z,Punto de control técnico documentado.,
tarea-orden-022,orden-trabajo-022,1,"Diagnóstico, ejecución y validación de la orden #22",1,tecnica-demo,Completada,2026-07-30T14:00:00Z,Punto de control técnico documentado.,2026-07-30T14:55:00Z
tarea-orden-023,orden-trabajo-023,1,"Diagnóstico, ejecución y validación de la orden #23",1,tecnica-demo,No aplica,2026-07-30T13:00:00Z,Punto de control técnico documentado.,
tarea-orden-024,orden-trabajo-024,1,"Diagnóstico, ejecución y validación de la orden #24",1,tecnica-demo,Pendiente,2026-07-30T12:00:00Z,Punto de control técnico documentado.,
tarea-orden-025,orden-trabajo-025,1,"Diagnóstico, ejecución y validación de la orden #25",1,tecnica-demo,En ejecución,2026-07-30T11:00:00Z,Punto de control técnico documentado.,
tarea-orden-026,orden-trabajo-026,1,"Diagnóstico, ejecución y validación de la orden #26",1,tecnica-demo,Completada,2026-07-30T10:00:00Z,Punto de control técnico documentado.,2026-07-30T10:55:00Z
tarea-orden-027,orden-trabajo-027,1,"Diagnóstico, ejecución y validación de la orden #27",1,tecnica-demo,No aplica,2026-07-30T09:00:00Z,Punto de control técnico documentado.,
tarea-orden-028,orden-trabajo-028,1,"Diagnóstico, ejecución y validación de la orden #28",1,tecnica-demo,Pendiente,2026-07-30T08:00:00Z,Punto de control técnico documentado.,
tarea-orden-029,orden-trabajo-029,1,"Diagnóstico, ejecución y validación de la orden #29",1,tecnica-demo,En ejecución,2026-07-30T07:00:00Z,Punto de control técnico documentado.,
tarea-orden-030,orden-trabajo-030,1,"Diagnóstico, ejecución y validación de la orden #30",1,tecnica-demo,Completada,2026-07-30T06:00:00Z,Punto de control técnico documentado.,2026-07-30T06:55:00Z
tarea-orden-031,orden-trabajo-031,1,"Diagnóstico, ejecución y validación de la orden #31",1,tecnica-demo,No aplica,2026-07-30T05:00:00Z,Punto de control técnico documentado.,
tarea-orden-032,orden-trabajo-032,1,"Diagnóstico, ejecución y validación de la orden #32",1,tecnica-demo,Pendiente,2026-07-30T04:00:00Z,Punto de control técnico documentado.,
tarea-orden-033,orden-trabajo-033,1,"Diagnóstico, ejecución y validación de la orden #33",1,tecnica-demo,En ejecución,2026-07-30T03:00:00Z,Punto de control técnico documentado.,
tarea-orden-034,orden-trabajo-034,1,"Diagnóstico, ejecución y validación de la orden #34",1,tecnica-demo,Completada,2026-07-30T02:00:00Z,Punto de control técnico documentado.,2026-07-30T02:55:00Z
tarea-orden-035,orden-trabajo-035,1,"Diagnóstico, ejecución y validación de la orden #35",1,tecnica-demo,No aplica,2026-07-30T01:00:00Z,Punto de control técnico documentado.,
tarea-orden-036,orden-trabajo-036,1,"Diagnóstico, ejecución y validación de la orden #36",1,tecnica-demo,Pendiente,2026-07-30T00:00:00Z,Punto de control técnico documentado.,
tarea-orden-037,orden-trabajo-037,1,"Diagnóstico, ejecución y validación de la orden #37",1,tecnica-demo,En ejecución,2026-07-29T23:00:00Z,Punto de control técnico documentado.,
tarea-orden-038,orden-trabajo-038,1,"Diagnóstico, ejecución y validación de la orden #38",1,tecnica-demo,Completada,2026-07-29T22:00:00Z,Punto de control técnico documentado.,2026-07-29T22:55:00Z
tarea-orden-039,orden-trabajo-039,1,"Diagnóstico, ejecución y validación de la orden #39",1,tecnica-demo,No aplica,2026-07-29T21:00:00Z,Punto de control técnico documentado.,
tarea-orden-040,orden-trabajo-040,1,"Diagnóstico, ejecución y validación de la orden #40",1,tecnica-demo,Pendiente,2026-07-29T20:00:00Z,Punto de control técnico documentado.,
tarea-orden-041,orden-trabajo-041,1,"Diagnóstico, ejecución y validación de la orden #41",1,tecnica-demo,En ejecución,2026-07-29T19:00:00Z,Punto de control técnico documentado.,
tarea-orden-042,orden-trabajo-042,1,"Diagnóstico, ejecución y validación de la orden #42",1,tecnica-demo,Completada,2026-07-29T18:00:00Z,Punto de control técnico documentado.,2026-07-29T18:55:00Z
tarea-orden-043,orden-trabajo-043,1,"Diagnóstico, ejecución y validación de la orden #43",1,tecnica-demo,No aplica,2026-07-29T17:00:00Z,Punto de control técnico documentado.,
tarea-orden-044,orden-trabajo-044,1,"Diagnóstico, ejecución y validación de la orden #44",1,tecnica-demo,Pendiente,2026-07-29T16:00:00Z,Punto de control técnico documentado.,
tarea-orden-045,orden-trabajo-045,1,"Diagnóstico, ejecución y validación de la orden #45",1,tecnica-demo,En ejecución,2026-07-29T15:00:00Z,Punto de control técnico documentado.,
tarea-orden-046,orden-trabajo-046,1,"Diagnóstico, ejecución y validación de la orden #46",1,tecnica-demo,Completada,2026-07-29T14:00:00Z,Punto de control técnico documentado.,2026-07-29T14:55:00Z
tarea-orden-047,orden-trabajo-047,1,"Diagnóstico, ejecución y validación de la orden #47",1,tecnica-demo,No aplica,2026-07-29T13:00:00Z,Punto de control técnico documentado.,
tarea-orden-048,orden-trabajo-048,1,"Diagnóstico, ejecución y validación de la orden #48",1,tecnica-demo,Pendiente,2026-07-31T12:00:00Z,Punto de control técnico documentado.,
tarea-orden-049,orden-trabajo-049,1,"Diagnóstico, ejecución y validación de la orden #49",1,tecnica-demo,En ejecución,2026-07-31T11:00:00Z,Punto de control técnico documentado.,
tarea-orden-050,orden-trabajo-050,1,"Diagnóstico, ejecución y validación de la orden #50",1,tecnica-demo,Completada,2026-07-31T10:00:00Z,Punto de control técnico documentado.,2026-07-31T10:55:00Z
tarea-orden-051,orden-trabajo-051,1,"Diagnóstico, ejecución y validación de la orden #51",1,tecnica-demo,No aplica,2026-07-31T09:00:00Z,Punto de control técnico documentado.,
tarea-orden-052,orden-trabajo-052,1,"Diagnóstico, ejecución y validación de la orden #52",1,tecnica-demo,Pendiente,2026-07-31T08:00:00Z,Punto de control técnico documentado.,
tarea-orden-053,orden-trabajo-053,1,"Diagnóstico, ejecución y validación de la orden #53",1,tecnica-demo,En ejecución,2026-07-31T07:00:00Z,Punto de control técnico documentado.,
tarea-orden-054,orden-trabajo-054,1,"Diagnóstico, ejecución y validación de la orden #54",1,tecnica-demo,Completada,2026-07-31T06:00:00Z,Punto de control técnico documentado.,2026-07-31T06:55:00Z
tarea-orden-055,orden-trabajo-055,1,"Diagnóstico, ejecución y validación de la orden #55",1,tecnica-demo,No aplica,2026-07-31T05:00:00Z,Punto de control técnico documentado.,
tarea-orden-056,orden-trabajo-056,1,"Diagnóstico, ejecución y validación de la orden #56",1,tecnica-demo,Pendiente,2026-07-31T04:00:00Z,Punto de control técnico documentado.,
tarea-orden-057,orden-trabajo-057,1,"Diagnóstico, ejecución y validación de la orden #57",1,tecnica-demo,En ejecución,2026-07-31T03:00:00Z,Punto de control técnico documentado.,
tarea-orden-058,orden-trabajo-058,1,"Diagnóstico, ejecución y validación de la orden #58",1,tecnica-demo,Completada,2026-07-31T02:00:00Z,Punto de control técnico documentado.,2026-07-31T02:55:00Z
