ID,codigo,cliente,contrato,contacto,producto,canal,categoria,asunto,descripcion,prioridad,impacto,urgencia,nivelEscalamiento,estado,agente,primeraRespuesta,vencimientoRespuesta,vencimientoResolucion,estadoSLA,slaIncumplido,resolucionPrimerContacto,csat,externalID,proveedorExterno,estadoIntegracion,motivoEscalamiento,problemaConocido,fechaResolucion,resolucion,causaRaiz,categoriaResolucion,casoPadre
caso-001,SUP-CASO-001,cliente-soporte-001,contrato-001,Contacto sintético 1,Mesa de ayuda,Teléfono,Configuración,Caso de demostración #1,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Asignado,agente-demo,2026-07-31T13:00:00Z,2026-07-31T19:00:00Z,2026-08-01T11:00:00Z,En tiempo,false,true,2,HELPDESK-001,Canal demo,Local,,,,,,,
caso-002,SUP-CASO-002,cliente-soporte-002,contrato-002,Contacto sintético 2,Analítica,Chat,Error,Caso de demostración #2,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,En progreso,agente-demo,2026-07-31T13:00:00Z,2026-07-31T18:00:00Z,2026-08-01T10:00:00Z,En riesgo,false,true,3,HELPDESK-002,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-003,SUP-CASO-003,cliente-soporte-003,contrato-003,Contacto sintético 3,Automatización,WhatsApp,Consulta,Caso de demostración #3,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Esperando cliente,agente-demo,2026-07-31T13:00:00Z,2026-07-31T17:00:00Z,2026-08-01T09:00:00Z,Incumplido,true,false,4,HELPDESK-003,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-003,,,,,
caso-004,SUP-CASO-004,cliente-soporte-004,contrato-004,Contacto sintético 4,Plataforma CRM,Portal,Integración,Caso de demostración #4,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,Resuelto,agente-demo,2026-07-31T09:00:00Z,2026-07-31T16:00:00Z,2026-08-01T08:00:00Z,En tiempo,false,true,5,HELPDESK-004,Canal demo,Local,,,2026-07-31T08:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,
caso-005,SUP-CASO-005,cliente-soporte-005,contrato-005,Contacto sintético 5,Mesa de ayuda,Correo,Acceso,Caso de demostración #5,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Cerrado,agente-demo,2026-07-31T09:00:00Z,2026-07-31T15:00:00Z,2026-08-01T07:00:00Z,En tiempo,false,true,1,HELPDESK-005,Canal demo,Local,,,2026-07-31T07:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,Duplicado,
caso-006,SUP-CASO-006,cliente-soporte-006,contrato-006,Contacto sintético 6,Analítica,Teléfono,Configuración,Caso de demostración #6,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Nuevo,agente-demo,2026-07-31T09:00:00Z,2026-07-31T14:00:00Z,2026-08-01T06:00:00Z,En riesgo,false,false,2,HELPDESK-006,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,problema-conocido-006,,,,,
caso-007,SUP-CASO-007,cliente-soporte-007,contrato-007,Contacto sintético 7,Automatización,Chat,Error,Caso de demostración #7,Descripción sintética de una solicitud de soporte.,Crítica,Generalizado,Inmediata,Proveedor,Asignado,agente-demo,2026-07-31T09:00:00Z,2026-07-31T13:00:00Z,2026-08-01T05:00:00Z,Incumplido,true,true,3,HELPDESK-007,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,,,,,
caso-008,SUP-CASO-008,cliente-soporte-008,contrato-008,Contacto sintético 8,Plataforma CRM,WhatsApp,Consulta,Caso de demostración #8,Descripción sintética de una solicitud de soporte.,Baja,Bajo,Baja,Nivel 1,En progreso,agente-demo,2026-07-31T05:00:00Z,2026-07-31T12:00:00Z,2026-08-01T04:00:00Z,En tiempo,false,true,4,HELPDESK-008,Canal demo,Local,,,,,,,
caso-009,SUP-CASO-009,cliente-soporte-009,contrato-009,Contacto sintético 9,Mesa de ayuda,Portal,Integración,Caso de demostración #9,Descripción sintética de una solicitud de soporte.,Media,Moderado,Normal,Nivel 2,Esperando cliente,agente-demo,2026-07-31T05:00:00Z,2026-07-31T11:00:00Z,2026-08-01T03:00:00Z,En tiempo,false,false,5,HELPDESK-009,Canal demo,Local,,problema-conocido-009,,,,,
caso-010,SUP-CASO-010,cliente-soporte-010,contrato-010,Contacto sintético 10,Analítica,Correo,Acceso,Caso de demostración #10,Descripción sintética de una solicitud de soporte.,Alta,Alto,Alta,Nivel 3,Resuelto,agente-demo,2026-07-31T05:00:00Z,2026-07-31T10:00:00Z,2026-08-01T02:00:00Z,En riesgo,false,true,1,HELPDESK-010,Canal demo,Local,Requiere conocimiento especializado o intervención del proveedor.,,2026-07-31T02:00:00Z,Resolución sintética documentada.,Configuración inconsistente identificada durante el diagnóstico.,No reproducible,caso-009
