ID,codigo,titulo,producto,estado,impacto,causaRaiz,solucionTemporal,responsable,fechaDeteccion,observaciones,solucionDefinitiva,fechaResolucion
problema-conocido-001,SUP-PROB-001,Comportamiento conocido en integraciones,Mesa de ayuda,Solución temporal,Moderado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-20T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-002,SUP-PROB-002,Comportamiento conocido en reportes,Analítica,Resuelto,Alto,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-19T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-29T12:00:00Z
problema-conocido-003,SUP-PROB-003,Comportamiento conocido en automatizaciones,Automatización,Cerrado,Generalizado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-18T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-28T12:00:00Z
problema-conocido-004,SUP-PROB-004,Comportamiento conocido en acceso,Plataforma CRM,En investigación,Bajo,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-17T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-005,SUP-PROB-005,Comportamiento conocido en integraciones,Mesa de ayuda,Solución temporal,Moderado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-16T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-006,SUP-PROB-006,Comportamiento conocido en reportes,Analítica,Resuelto,Alto,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-15T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-25T12:00:00Z
problema-conocido-007,SUP-PROB-007,Comportamiento conocido en automatizaciones,Automatización,Cerrado,Generalizado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-14T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-24T12:00:00Z
problema-conocido-008,SUP-PROB-008,Comportamiento conocido en acceso,Plataforma CRM,En investigación,Bajo,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-13T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-009,SUP-PROB-009,Comportamiento conocido en integraciones,Mesa de ayuda,Solución temporal,Moderado,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-12T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,,
problema-conocido-010,SUP-PROB-010,Comportamiento conocido en reportes,Analítica,Resuelto,Alto,Condición técnica reproducida y documentada para la demostración.,Aplicar el procedimiento temporal documentado por soporte.,supervisora-demo,2026-06-11T12:00:00Z,Problema conocido sintético que agrupa casos relacionados.,Corrección validada en el ciclo de mantenimiento del producto.,2026-07-21T12:00:00Z
