ID,asunto,prospecto,solicitud,programa,asesor,tipo,estado,fecha,resultado,proximaAccion,observaciones
actividad-admision-001,Seguimiento de admisión #1,edu-prospecto-001,solicitud-edu-001,programa-001,asesor-demo,WhatsApp,Completada,2026-07-30T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-002,Seguimiento de admisión #2,edu-prospecto-002,solicitud-edu-002,programa-002,asesora-demo,Correo,Completada,2026-07-29T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-003,Seguimiento de admisión #3,edu-prospecto-003,solicitud-edu-003,programa-003,asesor-demo,Nota,Cancelada,2026-07-28T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-004,Seguimiento de admisión #4,edu-prospecto-004,solicitud-edu-004,programa-004,asesora-demo,Seguimiento,Pendiente,2026-07-27T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-005,Seguimiento de admisión #5,edu-prospecto-005,solicitud-edu-005,programa-005,asesor-demo,Llamada,Completada,2026-07-26T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-006,Seguimiento de admisión #6,edu-prospecto-006,solicitud-edu-006,programa-006,asesora-demo,WhatsApp,Completada,2026-07-25T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-007,Seguimiento de admisión #7,edu-prospecto-007,solicitud-edu-007,programa-007,asesor-demo,Correo,Cancelada,2026-07-24T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-008,Seguimiento de admisión #8,edu-prospecto-008,solicitud-edu-008,programa-008,asesora-demo,Nota,Pendiente,2026-07-23T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-009,Seguimiento de admisión #9,edu-prospecto-009,solicitud-edu-009,programa-009,asesor-demo,Seguimiento,Completada,2026-07-22T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-010,Seguimiento de admisión #10,edu-prospecto-010,solicitud-edu-010,programa-010,asesora-demo,Llamada,Completada,2026-07-21T12:00:00Z,Interés vigente,2026-08-11T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-011,Seguimiento de admisión #11,edu-prospecto-011,solicitud-edu-011,programa-011,asesor-demo,WhatsApp,Cancelada,2026-07-20T12:00:00Z,Sin respuesta,2026-08-12T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-012,Seguimiento de admisión #12,edu-prospecto-012,solicitud-edu-012,programa-012,asesora-demo,Correo,Pendiente,2026-07-19T12:00:00Z,Documentos solicitados,2026-08-01T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-013,Seguimiento de admisión #13,edu-prospecto-013,solicitud-edu-013,programa-013,asesor-demo,Nota,Completada,2026-07-18T12:00:00Z,Cita confirmada,2026-08-02T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-014,Seguimiento de admisión #14,edu-prospecto-014,solicitud-edu-014,programa-014,asesora-demo,Seguimiento,Completada,2026-07-17T12:00:00Z,Interés vigente,2026-08-03T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-015,Seguimiento de admisión #15,edu-prospecto-015,solicitud-edu-015,programa-015,asesor-demo,Llamada,Cancelada,2026-07-16T12:00:00Z,Sin respuesta,2026-08-04T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-016,Seguimiento de admisión #16,edu-prospecto-016,solicitud-edu-016,programa-016,asesora-demo,WhatsApp,Pendiente,2026-07-15T12:00:00Z,Documentos solicitados,2026-08-05T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-017,Seguimiento de admisión #17,edu-prospecto-017,solicitud-edu-017,programa-017,asesor-demo,Correo,Completada,2026-07-14T12:00:00Z,Cita confirmada,2026-08-06T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-018,Seguimiento de admisión #18,edu-prospecto-018,solicitud-edu-018,programa-018,asesora-demo,Nota,Completada,2026-07-13T12:00:00Z,Interés vigente,2026-08-07T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-019,Seguimiento de admisión #19,edu-prospecto-019,solicitud-edu-019,programa-019,asesor-demo,Seguimiento,Cancelada,2026-07-12T12:00:00Z,Sin respuesta,2026-08-08T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-020,Seguimiento de admisión #20,edu-prospecto-020,solicitud-edu-020,programa-020,asesora-demo,Llamada,Pendiente,2026-07-11T12:00:00Z,Documentos solicitados,2026-08-09T12:00:00Z,Actividad sintética del proceso de admisión.
actividad-admision-021,Seguimiento de admisión #21,edu-prospecto-021,solicitud-edu-021,programa-021,asesor-demo,WhatsApp,Completada,2026-07-10T12:00:00Z,Cita confirmada,2026-08-10T12:00:00Z,Actividad sintética del proceso de admisión.
