ID,registroCampana,contacto,campana,agente,direccion,inicio,fin,duracionSegundos,disposicion,resumen,callback,externalID,proveedorExterno,grabacionURL,transcripcionURL,estadoIntegracion
llamada-001,registro-campana-001,contacto-001,campana-001,agente-demo,Saliente,2026-07-31T11:43:00Z,2026-07-31T11:43:41Z,41,Ocupado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0001,Telefonía demo,https://example.invalid/recordings/1,https://example.invalid/transcripts/1,Local
llamada-002,registro-campana-002,contacto-002,campana-002,agente-demo,Saliente,2026-07-31T11:26:00Z,2026-07-31T11:26:42Z,42,Callback,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0002,Telefonía demo,https://example.invalid/recordings/2,https://example.invalid/transcripts/2,Local
llamada-003,registro-campana-003,contacto-003,campana-003,agente-demo,Saliente,2026-07-31T11:09:00Z,2026-07-31T11:09:43Z,43,Contactado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0003,Telefonía demo,https://example.invalid/recordings/3,https://example.invalid/transcripts/3,Local
llamada-004,registro-campana-004,contacto-004,campana-004,agente-demo,Saliente,2026-07-31T10:52:00Z,2026-07-31T10:52:44Z,44,Calificado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0004,Telefonía demo,https://example.invalid/recordings/4,https://example.invalid/transcripts/4,Local
llamada-005,registro-campana-005,contacto-005,campana-001,agente-demo,Saliente,2026-07-31T10:35:00Z,2026-07-31T10:35:45Z,45,No interesado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0005,Telefonía demo,https://example.invalid/recordings/5,https://example.invalid/transcripts/5,Local
llamada-006,registro-campana-006,contacto-006,campana-002,agente-demo,Saliente,2026-07-31T10:18:00Z,2026-07-31T10:18:46Z,46,No contesta,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0006,Telefonía demo,https://example.invalid/recordings/6,https://example.invalid/transcripts/6,Local
llamada-007,registro-campana-007,contacto-007,campana-003,agente-demo,Saliente,2026-07-31T10:01:00Z,2026-07-31T10:01:47Z,47,Ocupado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0007,Telefonía demo,https://example.invalid/recordings/7,https://example.invalid/transcripts/7,Local
llamada-008,registro-campana-008,contacto-008,campana-004,agente-demo,Saliente,2026-07-31T09:44:00Z,2026-07-31T09:44:48Z,48,Callback,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0008,Telefonía demo,https://example.invalid/recordings/8,https://example.invalid/transcripts/8,Local
llamada-009,registro-campana-009,contacto-009,campana-001,agente-demo,Saliente,2026-07-31T09:27:00Z,2026-07-31T09:27:49Z,49,Contactado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0009,Telefonía demo,https://example.invalid/recordings/9,https://example.invalid/transcripts/9,Local
llamada-010,registro-campana-010,contacto-010,campana-002,agente-demo,Saliente,2026-07-31T09:10:00Z,2026-07-31T09:10:50Z,50,Calificado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0010,Telefonía demo,https://example.invalid/recordings/10,https://example.invalid/transcripts/10,Local
llamada-011,registro-campana-011,contacto-011,campana-003,agente-demo,Saliente,2026-07-31T08:53:00Z,2026-07-31T08:53:51Z,51,No interesado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0011,Telefonía demo,https://example.invalid/recordings/11,https://example.invalid/transcripts/11,Local
llamada-012,registro-campana-012,contacto-012,campana-004,agente-demo,Saliente,2026-07-31T08:36:00Z,2026-07-31T08:36:52Z,52,No contesta,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0012,Telefonía demo,https://example.invalid/recordings/12,https://example.invalid/transcripts/12,Local
llamada-013,registro-campana-013,contacto-013,campana-001,agente-demo,Saliente,2026-07-31T08:19:00Z,2026-07-31T08:19:53Z,53,Ocupado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0013,Telefonía demo,https://example.invalid/recordings/13,https://example.invalid/transcripts/13,Local
llamada-014,registro-campana-014,contacto-014,campana-002,agente-demo,Saliente,2026-07-31T08:02:00Z,2026-07-31T08:02:54Z,54,Callback,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0014,Telefonía demo,https://example.invalid/recordings/14,https://example.invalid/transcripts/14,Local
llamada-015,registro-campana-015,contacto-015,campana-003,agente-demo,Saliente,2026-07-31T07:45:00Z,2026-07-31T07:45:55Z,55,Contactado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0015,Telefonía demo,https://example.invalid/recordings/15,https://example.invalid/transcripts/15,Local
llamada-016,registro-campana-016,contacto-016,campana-004,agente-demo,Saliente,2026-07-31T07:28:00Z,2026-07-31T07:28:56Z,56,Calificado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0016,Telefonía demo,https://example.invalid/recordings/16,https://example.invalid/transcripts/16,Local
llamada-017,registro-campana-017,contacto-017,campana-001,agente-demo,Saliente,2026-07-31T07:11:00Z,2026-07-31T07:11:57Z,57,No interesado,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0017,Telefonía demo,https://example.invalid/recordings/17,https://example.invalid/transcripts/17,Local
llamada-018,registro-campana-018,contacto-018,campana-002,agente-demo,Saliente,2026-07-31T06:54:00Z,2026-07-31T06:54:58Z,58,No contesta,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0018,Telefonía demo,https://example.invalid/recordings/18,https://example.invalid/transcripts/18,Local
llamada-019,registro-campana-019,contacto-019,campana-003,agente-demo,Saliente,2026-07-31T06:37:00Z,2026-07-31T06:37:59Z,59,Ocupado,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0019,Telefonía demo,https://example.invalid/recordings/19,https://example.invalid/transcripts/19,Local
llamada-020,registro-campana-020,contacto-020,campana-004,agente-demo,Saliente,2026-07-31T06:20:00Z,2026-07-31T06:21:00Z,60,Callback,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0020,Telefonía demo,https://example.invalid/recordings/20,https://example.invalid/transcripts/20,Local
llamada-021,registro-campana-021,contacto-021,campana-001,agente-demo,Saliente,2026-07-31T06:03:00Z,2026-07-31T06:04:01Z,61,Contactado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0021,Telefonía demo,https://example.invalid/recordings/21,https://example.invalid/transcripts/21,Local
llamada-022,registro-campana-022,contacto-022,campana-002,agente-demo,Saliente,2026-07-31T05:46:00Z,2026-07-31T05:47:02Z,62,Calificado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0022,Telefonía demo,https://example.invalid/recordings/22,https://example.invalid/transcripts/22,Local
llamada-023,registro-campana-023,contacto-023,campana-003,agente-demo,Saliente,2026-07-31T05:29:00Z,2026-07-31T05:30:03Z,63,No interesado,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0023,Telefonía demo,https://example.invalid/recordings/23,https://example.invalid/transcripts/23,Local
llamada-024,registro-campana-024,contacto-024,campana-004,agente-demo,Saliente,2026-07-31T05:12:00Z,2026-07-31T05:13:04Z,64,No contesta,Llamada sintética con disposición comercial.,2026-08-04T12:00:00Z,CALL-DEMO-0024,Telefonía demo,https://example.invalid/recordings/24,https://example.invalid/transcripts/24,Local
llamada-025,registro-campana-025,contacto-025,campana-001,agente-demo,Saliente,2026-07-31T04:55:00Z,2026-07-31T04:56:05Z,65,Ocupado,Llamada sintética con disposición comercial.,2026-08-05T12:00:00Z,CALL-DEMO-0025,Telefonía demo,https://example.invalid/recordings/25,https://example.invalid/transcripts/25,Local
llamada-026,registro-campana-026,contacto-026,campana-002,agente-demo,Saliente,2026-07-31T04:38:00Z,2026-07-31T04:39:06Z,66,Callback,Llamada sintética con disposición comercial.,2026-08-06T12:00:00Z,CALL-DEMO-0026,Telefonía demo,https://example.invalid/recordings/26,https://example.invalid/transcripts/26,Local
llamada-027,registro-campana-027,contacto-027,campana-003,agente-demo,Saliente,2026-07-31T04:21:00Z,2026-07-31T04:22:07Z,67,Contactado,Llamada sintética con disposición comercial.,2026-08-07T12:00:00Z,CALL-DEMO-0027,Telefonía demo,https://example.invalid/recordings/27,https://example.invalid/transcripts/27,Local
llamada-028,registro-campana-028,contacto-028,campana-004,agente-demo,Saliente,2026-07-31T04:04:00Z,2026-07-31T04:05:08Z,68,Calificado,Llamada sintética con disposición comercial.,2026-08-01T12:00:00Z,CALL-DEMO-0028,Telefonía demo,https://example.invalid/recordings/28,https://example.invalid/transcripts/28,Local
llamada-029,registro-campana-029,contacto-029,campana-001,agente-demo,Saliente,2026-07-31T03:47:00Z,2026-07-31T03:48:09Z,69,No interesado,Llamada sintética con disposición comercial.,2026-08-02T12:00:00Z,CALL-DEMO-0029,Telefonía demo,https://example.invalid/recordings/29,https://example.invalid/transcripts/29,Local
llamada-030,registro-campana-030,contacto-030,campana-002,agente-demo,Saliente,2026-07-31T03:30:00Z,2026-07-31T03:31:10Z,70,No contesta,Llamada sintética con disposición comercial.,2026-08-03T12:00:00Z,CALL-DEMO-0030,Telefonía demo,https://example.invalid/recordings/30,https://example.invalid/transcripts/30,Local
