ID,codigo,vin,placa,marca,modelo,version,anio,condicion,kilometraje,color,precio,sede,fechaIngreso,estado,proximoMantenimiento,externalID,proveedorExterno,estadoIntegracion
vehiculo-001,AUTO-DEMO-001,9ABERADEMO00000001,DMO001,Chevrolet,Modelo 2,Touring,2023,Usado,0,Gris,65850000,Medellín,2026-07-28,Disponible,2026-09-03,DMS-VEH-001,DMS sintético,Local
vehiculo-002,AUTO-DEMO-002,9ABERADEMO00000002,DMO002,Mazda,Modelo 3,Premium,2024,Nuevo,9060,Azul,69700000,Cali,2026-07-25,Reservado,2026-09-07,DMS-VEH-002,DMS sintético,Local
vehiculo-003,AUTO-DEMO-003,9ABERADEMO00000003,DMO003,Toyota,Modelo 4,Comfort,2025,Usado,0,Rojo,73550000,Barranquilla,2026-07-22,Vendido,2026-09-11,DMS-VEH-003,DMS sintético,Local
vehiculo-004,AUTO-DEMO-004,9ABERADEMO00000004,DMO004,Kia,Modelo 5,Touring,2026,Nuevo,10120,Blanco,77400000,Cartagena,2026-07-19,Disponible,2026-09-15,DMS-VEH-004,DMS sintético,Local
vehiculo-005,AUTO-DEMO-005,9ABERADEMO00000005,DMO005,Volkswagen,Modelo 6,Premium,2022,Usado,0,Gris,81250000,Bucaramanga,2026-07-16,Disponible,2026-09-19,DMS-VEH-005,DMS sintético,Local
vehiculo-006,AUTO-DEMO-006,9ABERADEMO00000006,DMO006,Renault,Modelo 7,Comfort,2023,Nuevo,11180,Azul,85100000,Pereira,2026-07-13,Reservado,2026-09-23,DMS-VEH-006,DMS sintético,Local
vehiculo-007,AUTO-DEMO-007,9ABERADEMO00000007,DMO007,Chevrolet,Modelo 8,Touring,2024,Usado,0,Rojo,88950000,Manizales,2026-07-10,Vendido,2026-09-27,DMS-VEH-007,DMS sintético,Local
vehiculo-008,AUTO-DEMO-008,9ABERADEMO00000008,DMO008,Mazda,Modelo 1,Premium,2025,Nuevo,12240,Blanco,92800000,Ibagué,2026-07-07,Disponible,2026-10-01,DMS-VEH-008,DMS sintético,Local
vehiculo-009,AUTO-DEMO-009,9ABERADEMO00000009,DMO009,Toyota,Modelo 2,Comfort,2026,Usado,0,Gris,96650000,Villavicencio,2026-07-04,Disponible,2026-10-05,DMS-VEH-009,DMS sintético,Local
vehiculo-010,AUTO-DEMO-010,9ABERADEMO00000010,DMO010,Kia,Modelo 3,Touring,2022,Nuevo,13300,Azul,100500000,Bogotá,2026-07-01,Reservado,2026-10-09,DMS-VEH-010,DMS sintético,Local
